Formula_label,FALCON_ID,Iter,Opt_Method,Max_Cell_Target,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,SM102_PcntMolar,DSPC_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_THP1,nLnLE_HEPG2,nLnLE_Selectivity
1,F2001,0,N/A,N/A,SM-102,DSPC,4.210526316,40,5,3.75,38,2,57.75,2.25,3.052419051,6.32877964,-3.276360589
2,F2002,0,N/A,N/A,SM-102,DSPC,6.315789474,40,5,3.75,38,2,57.75,2.25,2.859520621,6.197085495,-3.337564874
3,F2003,0,N/A,N/A,SM-102,DSPC,4.210526316,40,5,5,38,2,57,3,2.118493841,5.551977481,-3.43348364
4,F2004,0,N/A,N/A,SM-102,DSPC,6.315789474,40,5,5,38,2,57,3,2.164338565,5.403908434,-3.239569869
5,F2005,0,N/A,N/A,SM-102,DSPC,4.210526316,60,5,3.75,57,3,38.5,1.5,3.627146762,7.258883285,-3.631736523
6,F2006,0,N/A,N/A,SM-102,DSPC,6.315789474,60,5,3.75,57,3,38.5,1.5,3.980770431,7.202320499,-3.221550068
7,F2007,0,N/A,N/A,SM-102,DSPC,4.210526316,60,5,5,57,3,38,2,2.459363605,5.424127454,-2.964763849
8,F2008,0,N/A,N/A,SM-102,DSPC,6.315789474,60,5,5,57,3,38,2,3.119812566,5.807627546,-2.68781498
9,F2009,0,N/A,N/A,SM-102,DSPC,4.210526316,80,5,3.75,76,4,19.25,0.75,0.986417598,2.488661591,-1.502243993
10,F2010,0,N/A,N/A,SM-102,DSPC,6.315789474,80,5,3.75,76,4,19.25,0.75,3.155693093,4.463160472,-1.307467379
11,F2011,0,N/A,N/A,SM-102,DSPC,4.210526316,80,5,5,76,4,19,1,2.160935098,3.259663069,-1.098727972
12,F2012,0,N/A,N/A,SM-102,DSPC,6.315789474,80,5,5,76,4,19,1,3.489154988,3.967250681,-0.478095693
13,F2013,0,N/A,N/A,SM-102,DSPC,5,40,20,3.75,32,8,57.75,2.25,0.639259159,2.958264247,-2.319005088
14,F2014,0,N/A,N/A,SM-102,DSPC,7.5,40,20,3.75,32,8,57.75,2.25,1.172966457,3.404032736,-2.231066278
15,F2015,0,N/A,N/A,SM-102,DSPC,5,40,20,5,32,8,57,3,0.716863688,3.032578381,-2.315714693
16,F2016,0,N/A,N/A,SM-102,DSPC,7.5,40,20,5,32,8,57,3,0.646667022,2.599376062,-1.952709039
17,F2017,0,N/A,N/A,SM-102,DSPC,5,60,20,3.75,48,12,38.5,1.5,2.944663363,4.798460043,-1.853796679
18,F2018,0,N/A,N/A,SM-102,DSPC,7.5,60,20,3.75,48,12,38.5,1.5,3.274308281,5.059093539,-1.784785258
19,F2019,0,N/A,N/A,SM-102,DSPC,5,60,20,5,48,12,38,2,2.089735888,4.957246257,-2.867510369
20,F2020,0,N/A,N/A,SM-102,DSPC,7.5,60,20,5,48,12,38,2,3.047066181,5.104907369,-2.057841188
21,F2021,0,N/A,N/A,SM-102,DSPC,5,80,20,3.75,64,16,19.25,0.75,0.954783118,4.035613875,-3.080830757
22,F2022,0,N/A,N/A,SM-102,DSPC,7.5,80,20,3.75,64,16,19.25,0.75,1.967837823,4.491730618,-2.523892795
23,F2023,0,N/A,N/A,SM-102,DSPC,5,80,20,5,64,16,19,1,0.395881847,3.584168944,-3.188287097
24,F2024,0,N/A,N/A,SM-102,DSPC,7.5,80,20,5,64,16,19,1,2.120173743,4.190864644,-2.070690902
25,F2025,0,N/A,N/A,SM-102,DSPC,6.666666667,40,40,3.75,24,16,57.75,2.25,-0.270097727,2.462090061,-2.732187788
26,F2026,0,N/A,N/A,SM-102,DSPC,10,40,40,3.75,24,16,57.75,2.25,-0.521716028,1.485399598,-2.007115626
27,F2027,0,N/A,N/A,SM-102,DSPC,6.666666667,40,40,5,24,16,57,3,-0.189788211,1.153603069,-1.34339128
28,F2028,0,N/A,N/A,SM-102,DSPC,10,40,40,5,24,16,57,3,-0.068256806,1.946480943,-2.014737749
29,F2029,0,N/A,N/A,SM-102,DSPC,6.666666667,60,40,3.75,36,24,38.5,1.5,1.057948023,3.940679037,-2.882731014
30,F2030,0,N/A,N/A,SM-102,DSPC,10,60,40,3.75,36,24,38.5,1.5,0.572856266,2.97352733,-2.400671065
31,F2031,0,N/A,N/A,SM-102,DSPC,6.666666667,60,40,5,36,24,38,2,0.707659468,3.981631412,-3.273971944
32,F2032,0,N/A,N/A,SM-102,DSPC,10,60,40,5,36,24,38,2,0.220772618,2.486895713,-2.266123095
33,F2033,0,N/A,N/A,SM-102,DSPC,6.666666667,80,40,3.75,48,32,19.25,0.75,0.103754039,1.956217154,-1.852463115
34,F2034,0,N/A,N/A,SM-102,DSPC,10,80,40,3.75,48,32,19.25,0.75,0.867611225,3.094920765,-2.227309541
35,F2035,0,N/A,N/A,SM-102,DSPC,6.666666667,80,40,5,48,32,19,1,0.227056488,2.117022782,-1.889966294
36,F2036,0,N/A,N/A,SM-102,DSPC,10,80,40,5,48,32,19,1,1.073596285,3.467042151,-2.393445866
37,F2037,1,NSGAII,THP1,SM-102,DSPC,15.02996431,85.85472826,8.609026669,9.042316721,78.46347181,7.391256453,12.86621147,1.279060272,4.841044764,4.413133193,0.427911571
38,F2038,1,NSGAII,THP1,SM-102,DSPC,6.113831612,87.72506899,0.86563656,19.8633157,86.96568872,0.759380269,9.836722712,2.438208298,0.600087224,0.846840396,-0.246753172
39,F2039,1,NSGAII,THP1,SM-102,DSPC,17.99428594,82.99105172,16.29097453,15.92455953,69.47100062,13.5200511,14.30034819,2.708600094,3.862866603,4.278595196,-0.415728593
40,F2040,1,NSGAII,THP1,SM-102,DSPC,6.797885746,89.02448846,6.281743116,12.31187375,83.43219878,5.592289675,9.624220416,1.351291124,3.126807525,2.90357041,0.223237115
41,F2041,1,NSGAII,THP1,SM-102,DSPC,8.830415464,83.67680944,11.35565739,5.610370901,74.17475765,9.502051795,15.40739903,0.915791533,5.054446192,4.767143724,0.287302469
