Formula_label,FALCON_ID,Iter,Opt_Method,Max_Cell_Target,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,SM102_PcntMolar,DOTAP_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_INS
1,F3001,0,N/A,N/A,SM-102,DOTAP,10,80,50,5,40,40,19,1,3.450714216
2,F3002,0,N/A,N/A,SM-102,DOTAP,7,80,50,5,40,40,19,1,2.771010586
3,F3003,0,N/A,N/A,SM-102,DOTAP,4,80,50,5,40,40,19,1,2.165423704
4,F3004,0,N/A,N/A,SM-102,DOTAP,10,80,50,1,40,40,19.8,0.2,3.427428756
5,F3005,0,N/A,N/A,SM-102,DOTAP,7,80,50,1,40,40,19.8,0.2,3.127365636
6,F3006,0,N/A,N/A,SM-102,DOTAP,4,80,50,1,40,40,19.8,0.2,2.736022076
7,F3007,0,N/A,N/A,SM-102,DOTAP,10,80,50,0.2,40,40,19.96,0.04,3.558406076
8,F3008,0,N/A,N/A,SM-102,DOTAP,7,80,50,0.2,40,40,19.96,0.04,3.270869536
9,F3009,0,N/A,N/A,SM-102,DOTAP,4,80,50,0.2,40,40,19.96,0.04,2.517752346
10,F3010,0,N/A,N/A,SM-102,DOTAP,10,50,50,5,25,25,47.5,2.5,5.19823188
11,F3011,0,N/A,N/A,SM-102,DOTAP,7,50,50,5,25,25,47.5,2.5,5.21433755
12,F3012,0,N/A,N/A,SM-102,DOTAP,4,50,50,5,25,25,47.5,2.5,5.2269007
13,F3013,0,N/A,N/A,SM-102,DOTAP,10,50,50,1,25,25,49.5,0.5,6.12258712
14,F3014,0,N/A,N/A,SM-102,DOTAP,7,50,50,1,25,25,49.5,0.5,7.27264882
15,F3015,0,N/A,N/A,SM-102,DOTAP,4,50,50,1,25,25,49.5,0.5,7.12127305
16,F3016,0,N/A,N/A,SM-102,DOTAP,10,50,50,0.2,25,25,49.9,0.1,6.78327752
17,F3017,0,N/A,N/A,SM-102,DOTAP,7,50,50,0.2,25,25,49.9,0.1,8.02584821
18,F3018,0,N/A,N/A,SM-102,DOTAP,4,50,50,0.2,25,25,49.9,0.1,7.22822125
19,F3019,0,N/A,N/A,SM-102,DOTAP,10,20,50,5,10,10,76,4,5.24160885
20,F3020,0,N/A,N/A,SM-102,DOTAP,7,20,50,5,10,10,76,4,5.36147764
21,F3021,0,N/A,N/A,SM-102,DOTAP,4,20,50,5,10,10,76,4,4.666530066
22,F3022,0,N/A,N/A,SM-102,DOTAP,10,20,50,1,10,10,79.2,0.8,6.05228367
23,F3023,0,N/A,N/A,SM-102,DOTAP,7,20,50,1,10,10,79.2,0.8,5.17798019
24,F3024,0,N/A,N/A,SM-102,DOTAP,4,20,50,1,10,10,79.2,0.8,5.26274393
