Formula_label,Iter,Opt_Method,Cell_Target,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,RLU_INS,RLU_RAW,RLU_HEPG2,RLU_KELLY,selectivity,weighted_selectivity,NORM_RLU_INS,NORM_RLU_HEPG2,on_target,off_target,LnRLU_HEPG2
0,0,CONTROL,N/A,SM-102,DSPC,6,60,16.66666667,3.75,11.42918365,13.62969168,13.19813878,11.57366769,0.457397286,5.032858153,11.23318463,13.09946474,11.0032532,13.05297436,8.052974355
1,0,N/A,N/A,SM-102,DSPC,10,80,50,5,9.889581429,8.140696784,13.32956263,12.37100915,0.422848685,4.098918571,9.693582408,13.23088859,9.693582408,13.23088859,8.230888588
2,0,N/A,N/A,SM-102,DSPC,7,80,50,5,10.29959959,8.113820775,13.44752003,11.95115219,0.43081222,4.352754592,10.10360057,13.34884599,10.10360057,13.34884599,8.348845988
3,0,N/A,N/A,SM-102,DSPC,4,80,50,5,8.336913118,7.724179277,12.23106804,10.20279456,0.401558249,3.269051209,8.140914097,12.132394,8.140914097,12.132394,7.132393998
4,0,N/A,N/A,SM-102,DSPC,10,80,50,1,9.502100872,8.098143853,13.48944745,12.11826482,0.410016874,3.815658793,9.306101851,13.39077341,9.306101851,13.39077341,8.390773408
5,0,N/A,N/A,SM-102,DSPC,7,80,50,1,10.11909346,7.814197709,13.6291207,12.06012652,0.423095787,4.198419455,9.923094439,13.53044666,9.923094439,13.53044666,8.530446658
6,0,N/A,N/A,SM-102,DSPC,4,80,50,1,8.403623037,7.704043183,11.68222141,10.10283273,0.414711381,3.40379509,8.207624016,11.58354737,8.207624016,11.58354737,6.583547368
7,0,N/A,N/A,SM-102,DSPC,10,80,50,0.2,8.951920063,7.559971981,12.60549666,11.80092582,0.411796388,3.60565666,8.755921042,12.50682262,8.755921042,12.50682262,7.506822618
8,0,N/A,N/A,SM-102,DSPC,7,80,50,0.2,9.460084807,7.764842714,13.06346022,11.70874403,0.41675915,3.860892518,9.264085786,12.96478618,9.264085786,12.96478618,7.964786178
9,0,N/A,N/A,SM-102,DSPC,4,80,50,0.2,8.460079104,7.729295568,10.06951819,9.172150256,0.453200681,3.745286723,8.264080083,9.970844148,8.264080083,9.970844148,4.970844148
10,0,N/A,N/A,SM-102,DSPC,10,50,50,5,10.15984774,10.77048764,12.06626889,10.6899826,0.454317961,4.526755432,9.963848719,11.96759485,9.963848719,11.96759485,6.967594848
11,0,N/A,N/A,SM-102,DSPC,7,50,50,5,10.33627003,10.87639106,12.67595602,11.70290825,0.44636282,4.52623996,10.14027101,12.57728198,10.14027101,12.57728198,7.577281978
12,0,N/A,N/A,SM-102,DSPC,4,50,50,5,9.709277914,11.00467494,11.90585384,10.22056207,0.446204232,4.244865301,9.513278893,11.8071798,9.513278893,11.8071798,6.807179798
13,0,N/A,N/A,SM-102,DSPC,10,50,50,1,6.935384008,10.79948784,12.68921812,11.56842083,0.34865027,2.349688395,6.739384987,12.59054408,6.739384987,12.59054408,7.590544078
