Formula_ label,Iter,Opt_Method,Cell_Target,Ionizable_Lipid,Helper_lipid,NP_ratio,HL_IL+HL,IL+HL,PEG_PEG+Chol,Dlin-MC3-DMA_PcntMolar,DSPC_PcntMolar,Cholesterol_PcntMolar,DMG-PEG2000_PcntMolar,Signal_1_norm,Signal_2_norm,Signal_3_norm,LnRLU_RAMOS_norm
1,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,50,20,9.090909091,10,10,72.72727273,7.272727273,130.6064132,48.7741792,58.52901505,4.276303998
2,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,50,20,9.090909091,10,10,72.72727273,7.272727273,3.793547272,3.251611947,3.793547272,1.281917977
3,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,50,20,9.090909091,10,10,72.72727273,7.272727273,5.961288572,1.625805974,3.251611947,1.150147065
4,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,50,50,9.090909091,25,25,45.45454545,4.545454545,359.3031205,443.3030961,333.8321604,5.929686152
5,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,50,50,9.090909091,25,25,45.45454545,4.545454545,287.7676573,313.2386177,278.0128215,5.678928633
6,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,50,50,9.090909091,25,25,45.45454545,4.545454545,253.0837967,269.8837916,196.1805875,5.470249237
7,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,50,80,9.090909091,40,40,18.18181818,1.818181818,14.09031844,19.50967168,14.63225376,2.766542169
8,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,50,80,9.090909091,40,40,18.18181818,1.818181818,224.3612244,321.3676475,212.4386473,5.514832126
9,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,50,80,9.090909091,40,40,18.18181818,1.818181818,298.0644285,396.1547224,261.2128264,5.748150005
10,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,1.960784314,20,9.090909091,19.60784314,0.392156863,72.72727273,7.272727273,16.79999504,10.29677116,11.92257712,2.543880933
11,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,1.960784314,20,9.090909091,19.60784314,0.392156863,72.72727273,7.272727273,18.42580104,18.42580104,13.54838312,2.811257013
12,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,1.960784314,20,9.090909091,19.60784314,0.392156863,72.72727273,7.272727273,3.251611947,9.212900517,8.670965191,1.853245233
13,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,1.960784314,50,9.090909091,49.01960784,0.980392157,45.45454545,4.545454545,74.78707478,74.24513948,58.52901505,4.230513334
14,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,1.960784314,50,9.090909091,49.01960784,0.980392157,45.45454545,4.545454545,42.81289062,47.69030854,54.73546779,3.874693116
15,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,1.960784314,50,9.090909091,49.01960784,0.980392157,45.45454545,4.545454545,37.39353741,50.9419205,49.85804986,3.820454676
16,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,1.960784314,80,9.090909091,78.43137255,1.568627451,18.18181818,1.818181818,24.38708961,36.85160207,21.67741298,3.292407938
17,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,1.960784314,80,9.090909091,78.43137255,1.568627451,18.18181818,1.818181818,15.17418909,29.26450754,14.09031844,2.913819753
18,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,1.960784314,80,9.090909091,78.43137255,1.568627451,18.18181818,1.818181818,23.30321896,21.13547766,21.13547766,3.083499191
19,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,0.497512438,20,9.090909091,19.90049751,0.099502488,72.72727273,7.272727273,11.92257714,14.63225376,10.29677117,2.497830821
20,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,0.497512438,20,9.090909091,19.90049751,0.099502488,72.72727273,7.272727273,13.54838312,17.34193039,27.09676622,2.919602966
21,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,0.497512438,20,9.090909091,19.90049751,0.099502488,72.72727273,7.272727273,18.96773635,20.59354234,17.34193039,2.940281429
22,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,0.497512438,50,9.090909091,49.75124378,0.248756219,45.45454545,4.545454545,44.4386966,58.52901505,46.6064379,3.901790645
23,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,0.497512438,50,9.090909091,49.75124378,0.248756219,45.45454545,4.545454545,60.69675634,46.6064379,59.61288572,4.011833566
24,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,0.497512438,50,9.090909091,49.75124378,0.248756219,45.45454545,4.545454545,50.9419205,50.39998518,73.70320416,4.050241108
25,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,0.497512438,80,9.090909091,79.60199005,0.39800995,18.18181818,1.818181818,2.167741298,5.419353246,5.419353246,1.384546237
26,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,0.497512438,80,9.090909091,79.60199005,0.39800995,18.18181818,1.818181818,3.793547272,6.503223896,4.335482598,1.557477502
27,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,0.497512438,80,9.090909091,79.60199005,0.39800995,18.18181818,1.818181818,3.793547272,4.87741792,4.335482598,1.461583477
28,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,50,20,0.99009901,10,10,79.20792079,0.792079208,54.19353246,86.70965191,67.19998027,4.220933244
29,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,50,20,0.99009901,10,10,79.20792079,0.792079208,182.0902691,273.1354036,185.8838163,5.34653068
30,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,50,20,0.99009901,10,10,79.20792079,0.792079208,130.6064132,169.6257567,150.1160849,5.005730598
31,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,50,50,0.99009901,25,25,49.5049505,0.495049505,1992.154252,3349.160304,2206.760641,7.804239252
32,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,50,50,0.99009901,25,25,49.5049505,0.495049505,1496.825367,2286.96707,1334.786704,7.414203434
33,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,50,50,0.99009901,25,25,49.5049505,0.495049505,836.7481415,1410.115714,851.9223303,6.909481842
34,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,50,80,0.99009901,40,40,19.8019802,0.198019802,8.129029868,3.793547272,10.29677117,1.920191164
35,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,50,80,0.99009901,40,40,19.8019802,0.198019802,73.16126879,104.0515823,68.82578619,4.389710467
36,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,50,80,0.99009901,40,40,19.8019802,0.198019802,191.8451051,272.0515333,184.2580106,5.359672272
37,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,1.960784314,20,0.99009901,19.60784314,0.392156863,79.20792079,0.792079208,366.3482794,439.5095482,289.9353987,5.88630068
38,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,1.960784314,20,0.99009901,19.60784314,0.392156863,79.20792079,0.792079208,146.3225376,141.4451197,105.135453,4.864324896
39,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,1.960784314,20,0.99009901,19.60784314,0.392156863,79.20792079,0.792079208,86.16771659,83.99997532,67.19998027,4.36492835
40,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,1.960784314,50,0.99009901,49.01960784,0.980392157,49.5049505,0.495049505,80.74836337,114.3483534,67.19998027,4.446086723
41,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,1.960784314,50,0.99009901,49.01960784,0.980392157,49.5049505,0.495049505,26.01289558,37.39353741,18.96773635,3.27427658
42,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,1.960784314,50,0.99009901,49.01960784,0.980392157,49.5049505,0.495049505,18.42580104,39.01934337,19.50967168,3.182906582
43,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,1.960784314,80,0.99009901,78.43137255,1.568627451,19.8019802,0.198019802,13.54838312,17.8838657,9.754835844,2.589309769
44,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,1.960784314,80,0.99009901,78.43137255,1.568627451,19.8019802,0.198019802,8.129029868,7.045159216,8.129029868,2.047741308
45,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,1.960784314,80,0.99009901,78.43137255,1.568627451,19.8019802,0.198019802,7.045159216,8.129029868,8.129029868,2.047741308
46,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,0.497512438,20,0.99009901,19.90049751,0.099502488,79.20792079,0.792079208,279.6386274,340.8773193,275.303145,5.694297878
47,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,0.497512438,20,0.99009901,19.90049751,0.099502488,79.20792079,0.792079208,138.1935077,146.864473,128.9806073,4.925942401
48,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,0.497512438,20,0.99009901,19.90049751,0.099502488,79.20792079,0.792079208,94.29674646,99.71609976,70.45159216,4.46789989
49,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,0.497512438,50,0.99009901,49.75124378,0.248756219,49.5049505,0.495049505,53.10966183,62.3225623,35.76773142,3.893909504
50,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,0.497512438,50,0.99009901,49.75124378,0.248756219,49.5049505,0.495049505,27.63870159,33.59999016,22.21934834,3.31156875
51,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,0.497512438,50,0.99009901,49.75124378,0.248756219,49.5049505,0.495049505,16.79999505,17.34193039,10.29677117,2.66877875
52,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,0.497512438,80,0.99009901,79.60199005,0.39800995,19.8019802,0.198019802,2.167741298,3.251611947,2.709676622,0.983221969
53,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,0.497512438,80,0.99009901,79.60199005,0.39800995,19.8019802,0.198019802,2.167741298,3.251611947,2.167741298,0.908840785
54,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,0.497512438,80,0.99009901,79.60199005,0.39800995,19.8019802,0.198019802,3.251611947,3.251611947,2.167741298,1.043995821
55,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,50,20,0.199600798,10,10,79.84031936,0.159680639,17.34193039,30.89031351,13.54838312,2.963279053
56,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,50,20,0.199600798,10,10,79.84031936,0.159680639,42.81289062,82.37416935,15.71612441,3.640932789
57,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,50,20,0.199600798,10,10,79.84031936,0.159680639,51.48385591,76.9548162,45.52256732,4.034231638
58,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,50,50,0.199600798,25,25,49.9001996,0.099800399,430.8385832,666.0385142,409.16117,6.193730046
59,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,50,50,0.199600798,25,25,49.9001996,0.099800399,1597.083402,2337.367056,1181.960943,7.402548303
60,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,50,50,0.199600798,25,25,49.9001996,0.099800399,773.8836436,675.79335,545.728872,6.489810382
61,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,50,80,0.199600798,40,40,19.96007984,0.03992016,2.167741298,7.045159216,1.08387065,0.935521688
62,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,50,80,0.199600798,40,40,19.96007984,0.03992016,10.8387065,11.38064182,25.47096026,2.684192159
63,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,50,80,0.199600798,40,40,19.96007984,0.03992016,9.754835844,21.13547766,10.29677117,2.553515516
64,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,1.960784314,20,0.199600798,19.60784314,0.392156863,79.84031936,0.159680639,28.72257222,48.2322439,42.81289062,3.663516767
65,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,1.960784314,20,0.199600798,19.60784314,0.392156863,79.84031936,0.159680639,11.38064182,28.72257222,14.63225376,2.824275127
66,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,1.960784314,20,0.199600798,19.60784314,0.392156863,79.84031936,0.159680639,13.00644779,26.01289558,22.21934831,2.975000357
67,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,1.960784314,50,0.199600798,49.01960784,0.980392157,49.9001996,0.099800399,52.56772651,92.67094055,52.02579114,4.147632297
68,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,1.960784314,50,0.199600798,49.01960784,0.980392157,49.9001996,0.099800399,21.13547766,27.09676622,24.38708961,3.181473768
69,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,1.960784314,50,0.199600798,49.01960784,0.980392157,49.9001996,0.099800399,16.25805974,13.54838312,9.212900517,2.538486905
70,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,1.960784314,80,0.199600798,78.43137255,1.568627451,19.96007984,0.03992016,8.129029868,11.38064182,8.129029868,2.207599001
71,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,1.960784314,80,0.199600798,78.43137255,1.568627451,19.96007984,0.03992016,4.87741792,7.045159216,8.670965191,1.89897894
72,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,1.960784314,80,0.199600798,78.43137255,1.568627451,19.96007984,0.03992016,4.335482598,4.87741792,3.793547272,1.461583477
73,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,0.497512438,20,0.199600798,19.90049751,0.099502488,79.84031936,0.159680639,80.20642806,114.3483534,61.78062698,4.41581434
74,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,0.497512438,20,0.199600798,19.90049751,0.099502488,79.84031936,0.159680639,39.01934337,34.68386076,38.47740804,3.620134414
75,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,0.497512438,20,0.199600798,19.90049751,0.099502488,79.84031936,0.159680639,21.67741298,27.63870156,17.8838657,3.093128937
76,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,0.497512438,50,0.199600798,49.75124378,0.248756219,49.9001996,0.099800399,53.10966183,86.16771659,55.27740309,4.147006219
77,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,0.497512438,50,0.199600798,49.75124378,0.248756219,49.9001996,0.099800399,15.71612441,33.59999012,17.8838657,3.051037313
78,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,0.497512438,50,0.199600798,49.75124378,0.248756219,49.9001996,0.099800399,11.92257714,15.71612441,8.129029868,2.442854216
79,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,4,0.497512438,80,0.199600798,79.60199005,0.39800995,19.96007984,0.03992016,1.625805974,1.625805974,1.08387065,0.350848641
80,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,8,0.497512438,80,0.199600798,79.60199005,0.39800995,19.96007984,0.03992016,2.709676619,2.709676619,2.167741296,0.922448116
81,0,Grid-Search,N/A,Dlin-MC3-DMA,DSPC,12,0.497512438,80,0.199600798,79.60199005,0.39800995,19.96007984,0.03992016,1.625805974,5.419353246,2.167741298,0.983221969
82,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,5.86614637,0.897891744,32.36709623,7.071970747,32.07647475,0.290621485,62.8499246,4.78297917,340.0358418,228.8914405,192.576933,5.507598196
83,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,6.862288098,0.497512438,31.06281228,2.786120272,30.90827093,0.154541355,67.01651476,1.920672962,142.5069306,114.4457203,65.47615726,4.627059117
84,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,4.804562401,0.497512438,20,5.748717744,19.90049751,0.099502488,75.4010258,4.598974195,221.1883631,267.4068272,179.3716576,5.39241527
85,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,4.531023632,0.497512438,33.94532913,2.520528877,33.7764469,0.168882235,64.38974382,1.664927054,173.8694595,331.7825449,585.9840964,5.778692401
86,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,6.090803132,0.497512438,20,5.821299523,19.90049751,0.099502488,75.34296038,4.657039618,680.6219034,516.6564005,506.7524439,6.332802534
87,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,4.273469446,1.440867093,21.85675862,1.38133607,21.54183178,0.314926843,77.0638206,1.079420779,294.3675978,389.5556248,1179.12105,6.240786851
88,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,4,0.497512438,20,3.349904951,19.90049751,0.099502488,77.32007604,2.679923961,217.3368245,272.9090253,550.2198089,5.766968229
89,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,5.802495465,0.70606559,21.38286687,9.049868951,21.2318898,0.150977065,71.50238561,7.114747521,162.8650634,173.8694595,337.2847429,5.357384773
90,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,4,0.497512438,20,5.730877969,19.90049751,0.099502488,75.41529762,4.584702375,189.2756142,227.7910009,414.3155162,5.566086858
91,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,6.679213322,0.497512438,27.63682822,5.211065888,27.49933156,0.137496658,68.59227922,3.77089256,234.3936385,301.5204553,551.3202482,5.826051877
92,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,4,0.497512438,20,6.048145356,19.90049751,0.099502488,75.16148372,4.838516285,207.9830876,196.9786915,297.1186967,5.438228012
93,1,DA,RAMOS,Dlin-MC3-DMA,DSPC,6.96761324,0.497512438,36.36253966,4.984812728,36.1816315,0.180908158,60.46525212,3.172208223,153.5113267,159.0135248,441.8265066,5.397893633
94,1,BO,RAMOS,Dlin-MC3-DMA,DSPC,7.921916884,50,20,4.13965494,10,10,76.68827605,3.311723952,569.4775024,620.6479444,696.0280582,6.440291085
95,1,BO,RAMOS,Dlin-MC3-DMA,DSPC,4.207438302,50,44.2346249,4.161756175,22.11731245,22.11731245,53.44455616,2.320818941,544.1673907,561.7744248,3395.40644,6.920178681
96,1,BO,RAMOS,Dlin-MC3-DMA,DSPC,6.664758245,50,26.49174508,6.890112249,13.24587254,13.24587254,68.44345365,5.064801277,408.2630982,537.0145333,1455.331394,6.526975296
97,1,BO,RAMOS,Dlin-MC3-DMA,DSPC,6.900021948,22.95708219,32.71043357,1.119043717,25.20107245,7.509361121,66.53656676,0.752999665,1296.86809,1377.750401,3455.380398,7.514534203
98,1,BO,RAMOS,Dlin-MC3-DMA,DSPC,5.860371331,50,56.09349807,7.147469928,28.04674903,28.04674903,40.76829791,3.138204022,1181.32193,1348.038531,4140.40406,7.536447969
99,1,BO,RAMOS,Dlin-MC3-DMA,DSPC,10.7803464,50,63.71862978,3.227894766,31.85931489,31.85931489,35.11024577,1.17112445,1000.849832,809.3733384,2854.540367,7.187177053
100,1,BO,RAMOS,Dlin-MC3-DMA,DSPC,4,50,27.74537479,5.25101379,13.8726874,13.8726874,68.46052487,3.794100334,281.1623223,433.5732095,1257.802483,6.282704747
101,1,BO,RAMOS,Dlin-MC3-DMA,DSPC,4,50,64.45672804,5.146022509,32.22836402,32.22836402,33.71420719,1.829064776,107.8430825,182.6729766,576.6303598,5.41519207
102,1,BO,RAMOS,Dlin-MC3-DMA,DSPC,4,50,53.92887036,1.267199827,26.96443518,26.96443518,45.48731636,0.583813275,131.5025343,167.8170416,581.5823381,5.455884343
103,1,BO,RAMOS,Dlin-MC3-DMA,DSPC,4,50,20,3.8934168,10,10,76.88526656,3.11473344,265.2059479,404.9617795,554.0713477,5.967197614
104,1,BO,RAMOS,Dlin-MC3-DMA,DSPC,5.542021575,8.605122101,48.88001502,5.706454003,44.67383004,4.206184975,48.20284655,2.917138429,747.7487202,722.4386089,1852.039877,6.907914126
105,1,BO,RAMOS,Dlin-MC3-DMA,DSPC,4.390845439,50,56.24695126,2.955239026,28.12347563,28.12347563,42.46004157,1.293007171,220.6381433,627.8008021,1160.413576,6.298426224
106,2,DA,RAMOS,Dlin-MC3-DMA,DSPC,11.53530827,29.85532664,49.83337993,3.347054849,34.95546158,14.87791835,48.48751578,1.67910429,16635.64541,7661.65543,19141.39746,9.507631671
107,2,DA,RAMOS,Dlin-MC3-DMA,DSPC,6.804013086,25.43541641,49.77590802,3.279379193,37.11519854,12.66070948,48.57705356,1.647038422,11326.84868,4833.128536,11997.88059,9.070221913
108,2,DA,RAMOS,Dlin-MC3-DMA,DSPC,8.119255424,27.47031191,49.4064146,3.814819602,35.83431841,13.57209619,48.66353139,1.930054013,6404.532367,4089.896994,12906.74659,8.848847237
109,2,DA,RAMOS,Dlin-MC3-DMA,DSPC,6.841765659,27.01597619,49.19361398,4.008778112,35.90347894,13.29013504,48.76967074,2.036715282,9007.96628,4387.18961,12465.0547,8.974331038
110,2,DA,RAMOS,Dlin-MC3-DMA,DSPC,9.251966644,40.11365949,49.93351698,3.880792703,29.90335601,20.03016097,48.1235066,1.94297642,12138.03283,4162.09663,15892.41387,9.137156798
111,2,DA,RAMOS,Dlin-MC3-DMA,DSPC,5.247116491,38.05163763,49.20112243,4.05800145,30.47928961,18.72183282,48.73745838,2.061419188,17115.56063,4888.340022,26374.10219,9.474163065
112,2,DA,RAMOS,Dlin-MC3-DMA,DSPC,10.59695354,44.74771233,49.47526587,3.877982276,27.33621622,22.13904965,48.56539389,1.959340234,10413.73565,14227.57521,16397.81131,9.506240458
113,2,DA,RAMOS,Dlin-MC3-DMA,DSPC,4.691031767,24.00341318,49.37876911,4.018734815,37.52617914,11.85258997,48.58689786,2.03433303,13378.16774,13365.42662,14486.6445,9.527596123
114,2,DA,RAMOS,Dlin-MC3-DMA,DSPC,5.345951301,35.04431509,49.26815511,3.30007581,32.0024676,17.26568752,49.05765555,1.674189341,9160.859627,9449.658167,11190.94349,9.199763086
115,2,DA,RAMOS,Dlin-MC3-DMA,DSPC,5.872343906,42.6384666,49.86661473,3.24270021,28.60425486,21.26235987,48.50770988,1.625675389,8443.110303,8392.145862,9067.424802,9.062867049
116,2,DA,RAMOS,Dlin-MC3-DMA,DSPC,5.886756274,46.35060394,49.45421475,3.431224883,26.53188754,22.92232721,48.81144569,1.734339561,5130.421154,4786.411123,7394.092074,8.641638596
117,2,DA,RAMOS,Dlin-MC3-DMA,DSPC,10.04040949,43.91096247,49.70163259,4.142303282,27.87716735,21.82446523,48.21485649,2.083510924,7563.973573,9441.164089,10927.62718,9.127678655
118,2,BO,RAMOS,Dlin-MC3-DMA,DSPC,10.37061346,50,48.98211493,4.476900836,24.49105747,24.49105747,48.73386494,2.284020123,9793.668192,9543.092983,13548.04923,9.289020708
119,2,BO,RAMOS,Dlin-MC3-DMA,DSPC,7.208228843,42.95029311,51.25049223,3.456261823,29.2382556,22.01223663,47.06459715,1.684910626,6595.649045,4960.539659,10528.40566,8.855089158
120,2,BO,RAMOS,Dlin-MC3-DMA,DSPC,6.369492993,47.99363938,49.28037272,4.909611285,25.62892835,23.65144437,48.22949074,2.490136545,6362.06199,5313.043761,8536.545127,8.796046544
121,2,BO,RAMOS,Dlin-MC3-DMA,DSPC,10.6943862,28.51196225,51.72086973,2.181717713,36.97423488,14.74663486,47.22581593,1.053314337,10481.68825,8596.003655,13102.11032,9.265655436
122,2,BO,RAMOS,Dlin-MC3-DMA,DSPC,9.643144006,44.47575899,49.25099476,4.678872607,27.34624103,21.90475373,48.37452394,2.374481305,6914.176852,4276.766639,11135.73201,8.840065353
123,2,BO,RAMOS,Dlin-MC3-DMA,DSPC,10.7145963,40.87794544,53.32859001,6.503957712,31.52895808,21.79963193,43.63592122,3.03548877,11335.34276,8341.181408,24518.14685,9.49060325
124,2,BO,RAMOS,Dlin-MC3-DMA,DSPC,5.765104124,49.48973698,49.3541797,5.235827228,24.92892598,24.42525372,47.99409265,2.651727649,4361.707386,2132.012764,5971.334555,8.24672212
125,2,BO,RAMOS,Dlin-MC3-DMA,DSPC,8.650679067,50,49.79795394,4.808568621,24.89897697,24.89897697,47.78804623,2.413999834,5550.877853,2862.503192,8222.264362,8.53192135
126,2,BO,RAMOS,Dlin-MC3-DMA,DSPC,6.427198134,38.04423565,50.47057349,3.678761549,31.26942958,19.20114391,47.70735701,1.822069498,3478.323612,2178.730174,5686.783049,8.16223441
127,2,BO,RAMOS,Dlin-MC3-DMA,DSPC,4.730556776,41.19960987,53.4269747,3.5480875,31.41526956,22.01170514,44.92057361,1.652451689,2034.330905,1830.473109,5750.488611,7.929097366
128,2,BO,RAMOS,Dlin-MC3-DMA,DSPC,9.848157803,37.54545747,52.23708447,3.914199589,32.62443214,19.61265233,45.89337969,1.869535844,8612.991802,3435.853237,9330.741122,8.781372437
129,2,BO,RAMOS,Dlin-MC3-DMA,DSPC,9.922647395,26.67229876,49.53261202,5.141125534,36.32112576,13.21148626,47.87279621,2.59459177,15132.19418,8833.837746,14843.39564,9.438744983
130,3,DA,RAMOS,Dlin-MC3-DMA,DSPC,10.43278811,49.66616433,53.34661188,3.334781623,26.85139596,26.49521592,45.09759951,1.555788614,3424.677316,2672.148499,3474.424761,8.060861616
131,3,DA,RAMOS,Dlin-MC3-DMA,DSPC,10.52373441,25.41747583,49.85707777,4.021347532,37.18466708,12.67241069,48.12650106,2.016421166,7190.479972,6153.680038,5401.940863,8.733277451
132,3,DA,RAMOS,Dlin-MC3-DMA,DSPC,10.58731075,24.72236172,49.85888225,4.019432123,37.53258903,12.32629322,48.12572956,2.015388194,5886.781043,5193.475374,5897.046386,8.63927663
133,3,DA,RAMOS,Dlin-MC3-DMA,DSPC,10.5292465,47.0072267,61.03325672,5.145358673,32.34321537,28.69004135,36.96176458,2.004978705,2528.433654,1860.396532,2640.562818,7.747549192
134,3,DA,RAMOS,Dlin-MC3-DMA,DSPC,10.46676532,25.42849258,49.84097335,4.045987663,37.16716514,12.67380821,48.12959862,2.02942803,4348.558444,4538.862164,6026.547676,8.500653638
135,3,DA,RAMOS,Dlin-MC3-DMA,DSPC,10.53984931,47.54592351,61.49578042,3.31159165,32.2570437,29.23873672,37.22911706,1.275102521,4844.453615,6212.903183,6912.525992,8.687021239
136,3,DA,RAMOS,Dlin-MC3-DMA,DSPC,10.39383705,49.63228081,53.41271935,3.329455869,26.90276849,26.50995085,45.0361777,1.55110295,7851.410318,7207.852091,10367.2097,9.032592641
137,3,DA,RAMOS,Dlin-MC3-DMA,DSPC,10.56754459,47.66433619,63.49284321,5.141861565,33.22940097,30.26344224,34.63000933,1.877147464,1377.135632,1141.82232,1922.778247,7.276556069
