Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,MAL_Mol_RNA,LnRLU_T
0,CONTROL,0,SM-102,DSPC,5,60,16.66667,3.75,15,3.00000072,11.55000046,0.338000018,0.112,3.492784557
1,LIBRARY,0,SM-102,DSPC,5,40,10,3.75,15,1.666666667,24.0625,0.8255,0.112,3.870175169
2,LIBRARY,0,SM-102,DSPC,5,55,10,3.75,15,1.666666667,13.125,0.399363636,0.112,2.872275537
3,LIBRARY,0,SM-102,DSPC,5,70,10,3.75,15,1.666666667,6.875,0.155857143,0.112,1.06473641
4,LIBRARY,0,SM-102,DSPC,5,40,30,3.75,15,6.428571429,30.9375,1.093357143,0.112,4.780611148
5,LIBRARY,0,SM-102,DSPC,5,55,30,3.75,15,6.428571429,16.875,0.545467532,0.112,3.958965629
6,LIBRARY,0,SM-102,DSPC,5,70,30,3.75,15,6.428571429,8.839285714,0.232387755,0.112,1.05347307
7,LIBRARY,0,SM-102,DSPC,5,40,50,3.75,15,15,43.3125,1.5755,0.112,4.156217502
8,LIBRARY,0,SM-102,DSPC,5,55,50,3.75,15,15,23.625,0.808454545,0.112,3.349034754
9,LIBRARY,0,SM-102,DSPC,5,70,50,3.75,15,15,12.375,0.370142857,0.112,1.675398304
10,LIBRARY,0,SM-102,DSPC,5,40,60,3.75,15,22.5,54.140625,1.997375,0.112,3.748453613
11,LIBRARY,0,SM-102,DSPC,5,55,60,3.75,15,22.5,29.53125,1.038568182,0.112,3.127501239
12,LIBRARY,0,SM-102,DSPC,5,70,60,3.75,15,22.5,15.46875,0.490678571,0.112,1.210789245
13,LIBRARY,0,SM-102,DSPC,8,40,10,3.75,24,2.666666667,38.5,1.388,0.112,2.498206604
14,LIBRARY,0,SM-102,DSPC,8,55,10,3.75,24,2.666666667,21,0.706181818,0.112,2.820305839
15,LIBRARY,0,SM-102,DSPC,8,70,10,3.75,24,2.666666667,11,0.316571429,0.112,0.738879638
16,LIBRARY,0,SM-102,DSPC,8,40,30,3.75,24,10.28571429,49.5,1.816571429,0.112,4.249038511
17,LIBRARY,0,SM-102,DSPC,8,55,30,3.75,24,10.28571429,27,0.939948052,0.112,2.568429265
18,LIBRARY,0,SM-102,DSPC,8,70,30,3.75,24,10.28571429,14.14285714,0.439020408,0.112,1.872403452
19,LIBRARY,0,SM-102,DSPC,8,40,50,3.75,24,24,69.3,2.588,0.112,3.87752774
