Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,MAL_(PEG+MAL),IL%,HL%,Chol%,PEG%,MAL%,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,MAL_Mol_RNA,Encapsulation,LnRLU_RAMOS
0,CONTROL,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5,60,16.67,3.75,24.89,50,10,38.5,1.13,0.37,15,3,11.55,0.34,0.11,,3.625105266
1,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5,56.79,5,3.75,24.86,53.95,2.84,41.59,1.22,0.4,15,0.79,11.57,0.34,0.11,,2.59513491
2,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5,64.07,30,3.75,24.86,44.85,19.22,34.58,1.01,0.33,15,6.43,11.57,0.34,0.11,,4.750642258
3,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5,71.4,50,3.75,24.86,35.7,35.7,27.53,0.81,0.27,15,15,11.57,0.34,0.11,,5.129182663
4,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5,80.62,70,3.75,24.86,24.19,56.44,18.65,0.55,0.18,15,35,11.57,0.34,0.11,,4.262640824
5,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5,83.44,75,3.75,25.09,20.86,62.58,15.93,0.47,0.16,15,45,11.46,0.33,0.11,,4.084637596
6,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.88,61.21,28.86,4.9,17.51,43.55,17.66,36.89,1.57,0.33,14.64,5.94,12.4,0.53,0.11,,3.446166609
7,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.98,62.11,17.05,4.93,20.7,51.52,10.59,36.02,1.48,0.39,14.94,3.07,10.44,0.43,0.11,,3.821622286
8,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,6.93,50,1,5,10.67,49.5,0.5,47.5,2.23,0.27,20.79,0.21,19.95,0.94,0.11,,2.445695971
9,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.92,73.56,25.39,3.96,39.8,54.88,18.68,25.39,0.63,0.42,14.75,5.02,6.82,0.17,0.11,,2.703656216
10,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,3.5,50,50,5,10.67,25,25,47.5,2.23,0.27,10.5,10.5,19.95,0.94,0.11,,2.983898735
11,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.037498984,38.66871423,16.80597701,2.90898514,,,,,,,,,,,,,3.352312934
12,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.032784065,28.87317712,16.77460413,2.807068685,,,,,,,,,,,,,2.392363976
13,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,6.93,50,1,5,,,,,,,,,,,,,1.955136355
14,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.916853637,73.56337875,25.39399436,3.960262704,,,,,,,,,,,,,3.99458102
15,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5,57.01510155,5,3.75,,,,,,,,,,,,,3.075091347
16,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5,80.77019846,70,3.75,,,,,,,,,,,,,3.879298806
