,0,1,2,3,4,Train_size,Score_Type,Mean_MAE,sd,Percent_Error,Percent_SD
1,1.0239987563442909e-08,4.560036065415219e-09,6.077428793549444e-09,1.141360850276385e-08,1.0912785025629646e-08,1,Train,8.640769190160212e-09,3.1077037358746377e-09,8.640769190160212e-07,3.107703735874638e-07
6,0.1488782095368016,0.17123665187671508,0.15652635403333098,0.15338439321211433,0.17568422812096987,6,Train,0.16114196735598635,0.011675440061507105,16.114196735598636,1.1675440061507105
12,0.09566108158073174,0.1123719026004367,0.12036377512299698,0.10113333864633751,0.08989032256666837,12,Train,0.10388408410343426,0.012395896618884529,10.388408410343427,1.2395896618884528
18,0.06041958113602749,0.0706690784828653,0.083320697966834,0.06635796751538363,0.0567103748890568,18,Train,0.06749553999803344,0.010346376450842227,6.749553999803344,1.0346376450842227
24,0.040125247757235284,0.04672764791773339,0.05257389571584463,0.055875132309000576,0.04259581604391084,24,Train,0.04757954794874495,0.006612301758920475,4.757954794874495,0.6612301758920475
29,0.037418753547688685,0.04273382441328995,0.048358437012260225,0.04243645151823441,0.03645924137826836,29,Train,0.041481341573948324,0.004782820866986519,4.148134157394832,0.4782820866986519
35,0.0347308422814212,0.03855262664593424,0.041066616415476584,0.03970360241533224,0.033020922496360024,35,Train,0.03741492205090485,0.0034050997629512633,3.741492205090485,0.34050997629512636
41,0.03250926125215725,0.03746656949325806,0.03300804006848523,0.03740275243487872,0.03265579546530708,41,Train,0.03460848374281727,0.0025863941216216213,3.460848374281727,0.25863941216216213
47,0.029135000980644653,0.03337897222963438,0.033750939537772105,0.03433749224415419,0.035073510835697076,47,Train,0.03313518316558048,0.0023260861875414904,3.313518316558048,0.23260861875414904
52,0.0299691444225873,0.03451482207486829,0.032351260807241614,0.03476246896948274,0.03296531285978817,52,Train,0.03291260182679362,0.0019346150684664196,3.2912601826793617,0.19346150684664196
58,0.031059168649332124,0.03136456406291423,0.03192565926856632,0.03179806856820216,0.032770824156629165,58,Train,0.03178365694112879,0.000651036403143472,3.1783656941128795,0.06510364031434719
64,0.029861013268399406,0.030913322102306563,0.033475706392176355,0.030623241434945592,0.03129561744528812,64,Train,0.031233780128623205,0.0013592274387109332,3.1233780128623203,0.13592274387109332
70,0.030442295079211985,0.030610225037127785,0.03227033716727917,0.030174629975891338,0.03164762373525826,70,Train,0.031029022198953704,0.0008906678053475554,3.1029022198953706,0.08906678053475554
76,0.03137059978311302,0.02967492752363391,0.030944378848604338,0.031086032281702675,0.03066364236665245,76,Train,0.030747916160741278,0.000651740301093542,3.074791616074128,0.0651740301093542
81,0.031250709172885624,0.030379713378680985,0.030935505424898768,0.030497033613277692,0.03065306099687946,81,Train,0.030743204517324502,0.00035192058430131255,3.0743204517324503,0.035192058430131255
87,0.030753676285795627,0.030647199148102856,0.031161105275799968,0.0300211734759794,0.030665626125379753,87,Train,0.030649756062211524,0.00040854984259459644,3.0649756062211524,0.040854984259459645
93,0.031033800863653743,0.031226533950729794,0.03151676549858694,0.03247892065959372,0.030057823809003396,93,Train,0.03126276895631352,0.0008730938351618215,3.1262768956313516,0.08730938351618214
99,0.03114721596563703,0.031313466013574986,0.031649328968102394,0.032868910211106286,0.029507704047363803,99,Train,0.0312973250411569,0.0012061636785651144,3.12973250411569,0.12061636785651143
104,0.032179986428012085,0.031265104215257085,0.03159962040003405,0.033020187300805685,0.03146774818222272,104,Train,0.03190652930526633,0.0007094295287681467,3.1906529305266327,0.07094295287681467
110,0.03211613669297016,0.03154058213983184,0.03224767921749014,0.033229903143693576,0.03152491778337062,110,Train,0.03213184379547127,0.0006959433202272201,3.213184379547127,0.06959433202272201
116,0.033244977650755014,0.03131275299792681,0.032143549209979555,0.033361217025219055,0.032516065636289955,116,Train,0.03251571250403408,0.0008414753063881155,3.251571250403408,0.08414753063881154
122,0.03355118694098423,0.03110728384797553,0.032224894822774755,0.033557771793594454,0.032686131690987,122,Train,0.0326254538192632,0.0010241054625155636,3.2625453819263197,0.10241054625155636
128,0.03340829762943933,0.03262795528253644,0.03325671830564199,0.03328700828694254,0.032996969598795056,128,Train,0.03311538982067107,0.0003109812699274089,3.311538982067107,0.031098126992740893
133,0.033187347989217277,0.032538215861541174,0.03348820601070186,0.034232880512799026,0.03369567645613186,133,Train,0.03342846536607824,0.0006270438998376265,3.342846536607824,0.06270438998376265
139,0.03427773476156083,0.032565793775934854,0.034224630909590076,0.03412451981007114,0.03575549360383025,139,Train,0.034189634572197425,0.0011293803342758671,3.4189634572197427,0.11293803342758671
