,0,1,2,3,4,Train_size,Score_Type,Mean_MAE,sd,Percent_Error,Percent_SD
1,8.537451856582834e-09,7.032704701925851e-09,1.0519247306550739e-08,1.4792738578517373e-08,1.2447682296023999e-08,1,Train,1.0665964947920159e-08,3.0804809432997915e-09,1.066596494792016e-06,3.0804809432997913e-07
5,0.2443490655952758,0.2215822580538219,0.17911148951951694,0.19078766504749192,0.19062073833299428,5,Train,0.20529024330982018,0.026934492965707404,20.52902433098202,2.69344929657074
9,0.2322496465395278,0.21991927716847565,0.2005565578511937,0.18911450161858234,0.1964746457613939,9,Train,0.20766292578783468,0.017849699583262973,20.766292578783467,1.7849699583262972
14,0.05036586267754619,0.05854277945643651,0.053635541603890724,0.04344210749443629,0.044106658466081715,14,Train,0.05001858993967828,0.006404408632231473,5.001858993967828,0.6404408632231473
18,0.025565929179789143,0.03659933049434552,0.028327028350391303,0.022715136854373937,0.02593940141441941,18,Train,0.027829365258663863,0.005291748226599635,2.7829365258663863,0.5291748226599635
23,0.024840634964719437,0.023093115691479496,0.016366696329568393,0.01783126074659566,0.021117052266821347,23,Train,0.020649751999836867,0.003536960365685496,2.0649751999836865,0.3536960365685496
27,0.016138842027016542,0.01658779193978296,0.011780290964785476,0.014691876257513187,0.017580719896356293,27,Train,0.01535590421709089,0.002253124887983289,1.535590421709089,0.22531248879832888
32,0.01191005679285668,0.01114269192776103,0.009741129434101199,0.010350720479783762,0.013521212192029277,32,Train,0.011333162165306391,0.001471088808061074,1.1333162165306392,0.1471088808061074
36,0.009716439247054794,0.009482818411783635,0.010364260710031976,0.008749392588520574,0.012722109383547415,36,Train,0.010207004068187678,0.0015198860428570593,1.0207004068187677,0.15198860428570593
40,0.009147537637133076,0.00907053321722349,0.008656629542241358,0.007310312891567095,0.011523338997841328,40,Train,0.009141670457201271,0.00152205249503567,0.9141670457201271,0.152205249503567
45,0.008781961675866642,0.007728886733626897,0.008475126129947256,0.007692220028197296,0.010141456827406923,45,Train,0.008563930279009003,0.001000148784164268,0.8563930279009002,0.1000148784164268
49,0.007978583863495568,0.0072153706729421955,0.0071885404971196954,0.0072300210231534805,0.008834237753592534,49,Train,0.007689350762060695,0.0007212617184039516,0.7689350762060695,0.07212617184039516
54,0.006803962292941129,0.006856517805950607,0.006347237990436486,0.006385979459283303,0.00777743435803954,54,Train,0.006834226381330214,0.0005764410433807435,0.6834226381330214,0.05764410433807435
58,0.006849436805339776,0.006670604373487737,0.006159345959346752,0.0063622795036465864,0.007296216103251462,58,Train,0.006667576549014463,0.0004415242427906386,0.6667576549014463,0.04415242427906386
63,0.006756834831140532,0.006892580759100636,0.007612271668108084,0.006274995912416012,0.006868673252639512,63,Train,0.006881071284680957,0.00047898388103836265,0.6881071284680956,0.047898388103836266
67,0.006954973418778212,0.0062174672123167145,0.007201957726777471,0.005501140573548492,0.0064294085093964835,67,Train,0.0064609894881634735,0.0006660826619649659,0.6460989488163473,0.0666082661964966
71,0.006788052186743043,0.006112286758223498,0.00704433877583831,0.005615761877822529,0.0063624056358887685,71,Train,0.006384569046903229,0.0005620916437958348,0.6384569046903229,0.05620916437958348
76,0.006094397547857854,0.006114800103868205,0.00745422163286371,0.006187777938697148,0.005831328689910935,76,Train,0.006336505182639571,0.0006392148296485657,0.6336505182639571,0.06392148296485657
80,0.005924394797708264,0.005927542589977056,0.0072564782868035915,0.005784700243345241,0.005939526787441548,80,Train,0.00616652854105514,0.0006125879789492825,0.616652854105514,0.061258797894928246
85,0.005820946968629763,0.005546334923742437,0.006729836643028624,0.006018311698748078,0.005805974857437635,85,Train,0.005984281018317307,0.00044924357460558766,0.5984281018317307,0.04492435746055876
89,0.00584848430420305,0.00581463584977388,0.006510064633729692,0.005855569501106118,0.006011822812809762,89,Train,0.006008115420324501,0.0002907548161776277,0.6008115420324501,0.029075481617762772
94,0.005959700791169842,0.005671224969807219,0.0062121554984106275,0.005960697613228591,0.00684180596154602,94,Train,0.00612911696683246,0.0004420274315856253,0.612911696683246,0.044202743158562534
98,0.005586620901948742,0.005649022561215443,0.006103887820925609,0.005883742020630457,0.006392520866984548,98,Train,0.00592315883434096,0.00033276337150605256,0.5923158834340959,0.033276337150605254
102,0.005447347624243518,0.005561447189260792,0.006041060188857141,0.005758136644311634,0.006375412708258209,102,Train,0.005836680870986258,0.0003760006815762081,0.5836680870986258,0.03760006815762081
107,0.005347847589550228,0.005860894892061282,0.006086950614670963,0.00530212368312014,0.006602395847365462,107,Train,0.005840042525353615,0.000541801058740765,0.5840042525353615,0.054180105874076505
111,0.005425154227494751,0.005675492637913336,0.005647111033147443,0.005211542026567796,0.006303020095073811,111,Train,0.005652464004039427,0.0004092261369303318,0.5652464004039427,0.04092261369303318
116,0.005622192126339099,0.005401315354849892,0.0055555322374962034,0.0050050405239070745,0.006044502566456686,116,Train,0.0055257165618097905,0.0003761364860075809,0.552571656180979,0.03761364860075809
120,0.0056015943645308175,0.005482085944369426,0.005570473816866708,0.0050780274840728475,0.006198091863433179,120,Train,0.005586054694654596,0.000401240230032564,0.5586054694654596,0.0401240230032564
125,0.005332656686568573,0.00554735827201719,0.005862430467274162,0.0056854953807786894,0.005954220167139732,125,Train,0.005676432194755669,0.0002483371367125726,0.567643219475567,0.02483371367125726
129,0.00558230160615555,0.00560100433279282,0.0061574602395040035,0.005835732663469,0.005993093753489769,129,Train,0.005833918519082227,0.00024878674616408064,0.5833918519082227,0.024878674616408063
133,0.005505619899513265,0.005426036005287782,0.006160788019328519,0.005621888667024533,0.0062151767873588875,133,Train,0.0057859018757025985,0.00037409167791703,0.5785901875702598,0.037409167791702995
