,0,1,2,3,4,Train_size,Score_Type,Mean_MAE,sd,Percent_Error,Percent_SD
1,1.2106429486680171e-08,1.3018785460783278e-08,7.873644769507137e-09,1.9680985496872694e-08,1.1072217143137664e-08,1,Train,1.275041247139619e-08,4.3335546432886896e-09,1.2750412471396189e-06,4.33355464328869e-07
4,0.165619634538054,0.16201831893738244,0.15143041417367833,0.1640120741837678,0.13498890994729534,4,Train,0.1556138703560356,0.012792110884459413,15.56138703560356,1.2792110884459413
8,0.13717654531988624,0.15294789591916597,0.1463015307759114,0.1409980076934146,0.13268071071004894,8,Train,0.14202093808368543,0.007897408697788563,14.202093808368543,0.7897408697788563
12,0.06532206719467223,0.06807420966089436,0.0593716816831744,0.062052562110508955,0.06258696502552494,12,Train,0.06348149713495499,0.003324655340679407,6.3481497134954985,0.3324655340679407
16,0.03401421202614421,0.036529541492145344,0.03746941624421337,0.04670177001701112,0.032238211412964436,16,Train,0.03739063023849569,0.005598942416591462,3.739063023849569,0.5598942416591461
19,0.02432542454932678,0.026828501204242884,0.0321420956526494,0.0354713311574667,0.02795433374559612,19,Train,0.02934433726185638,0.00443899008418847,2.9344337261856377,0.443899008418847
23,0.018939064663262988,0.02846515304309537,0.02557057247335434,0.02396392541218854,0.02418366363013008,23,Train,0.024224475844406266,0.0034568932134311147,2.4224475844406266,0.3456893213431115
27,0.016690971810545067,0.02376286531353832,0.01893525159503511,0.01811441059732462,0.017567644660882932,27,Train,0.01901422879546521,0.0027773903058930906,1.901422879546521,0.27773903058930904
31,0.014002288927221393,0.01825772406982735,0.016692920227340077,0.013509732763973367,0.016576247270244038,31,Train,0.015807782651721246,0.0019948095288543155,1.5807782651721245,0.19948095288543155
34,0.01264025033739764,0.01837149660068888,0.014554993916266658,0.01275007548190225,0.015884175629796073,34,Train,0.014840198393210302,0.0023900670663690666,1.4840198393210302,0.23900670663690665
38,0.010310860427528016,0.015287474578770843,0.013453934124700825,0.012361483999661419,0.014933599348753138,38,Train,0.013269470495882849,0.002028146022957651,1.326947049588285,0.20281460229576512
42,0.012221542266673718,0.015112253054704549,0.012790191080656228,0.012680159075349648,0.015589180291871438,42,Train,0.013678665153851115,0.0015503910827560777,1.3678665153851115,0.15503910827560777
46,0.011353091606285092,0.013559935294834865,0.011280036521905382,0.010351434178443364,0.014217815310686135,46,Train,0.012152462582430967,0.0016500368048040159,1.2152462582430967,0.1650036804804016
49,0.010788023150059094,0.012583809195679366,0.010287115535362167,0.010187558787625495,0.013041510213645646,49,Train,0.011377603376474355,0.0013394488735587523,1.1377603376474354,0.13394488735587523
53,0.010434160210325134,0.012857563052284757,0.010324770891979283,0.01034738250455416,0.014300559549654946,53,Train,0.011652887241759655,0.0018313208138546493,1.1652887241759655,0.1831320813854649
57,0.009346154164097707,0.013518692699251638,0.009973107045260665,0.009994247141975962,0.013051270139289028,57,Train,0.011176694237975,0.001949145442866095,1.1176694237975,0.19491454428660948
61,0.010872820639375775,0.012758057601117829,0.009846378795880944,0.011082075483944586,0.012120504496570374,61,Train,0.011335967403377903,0.0011331018524879815,1.1335967403377902,0.11331018524879816
64,0.011499577596992822,0.01261556933042148,0.009270921966729984,0.01061791893944838,0.012246907477139395,64,Train,0.011250179062146412,0.0013450993699025203,1.1250179062146413,0.13450993699025202
68,0.011565375704279585,0.011875298720790043,0.009197364740182354,0.010941591931290138,0.012277430549078133,68,Train,0.01117141232912405,0.0012066089667819037,1.1171412329124049,0.12066089667819037
72,0.011120372332778992,0.01078890955738751,0.00907323226700634,0.010692110852468472,0.011933012817797383,72,Train,0.010721527565487738,0.0010427196089784277,1.0721527565487738,0.10427196089784277
76,0.010837088566592115,0.010680029811437331,0.008307454595541991,0.010261236186131135,0.011536107798892114,76,Train,0.010324383391718938,0.0012175401789633852,1.0324383391718939,0.12175401789633851
79,0.010615282215867173,0.01034347416365999,0.008533498701378059,0.010005468115445807,0.0113296416978944,79,Train,0.010165472978849085,0.0010341957233213003,1.0165472978849086,0.10341957233213003
83,0.00992634447023873,0.009902836070683131,0.00869947517660952,0.009727282170860187,0.01166652424762623,83,Train,0.00998449242720356,0.0010673221679355141,0.998449242720356,0.10673221679355141
87,0.00963897760633195,0.01006283193360626,0.008690056305436214,0.009383943332956484,0.011085602849145056,87,Train,0.009772282405495195,0.0008872739645091702,0.9772282405495195,0.08872739645091701
91,0.009199567099383856,0.009841069109737774,0.008351458349870139,0.009550649323819852,0.010399800478925076,91,Train,0.009468508872347339,0.0007637054058578469,0.9468508872347339,0.0763705405857847
94,0.008645381123842477,0.009186999250150056,0.008587901784956933,0.009388266593164796,0.010241439995220874,94,Train,0.009209997749467028,0.0006711887105951108,0.9209997749467027,0.06711887105951109
98,0.00859669507205731,0.009165873405192983,0.008069607308751007,0.009125458119024692,0.009349967192906955,98,Train,0.00886152021958659,0.0005239591919239451,0.8861520219586589,0.05239591919239451
102,0.008454977492346919,0.009147604227849618,0.008607147982664352,0.009245566660399315,0.00958228479257391,102,Train,0.009007516231166824,0.00046697038052749415,0.9007516231166823,0.04669703805274941
106,0.008881291784844375,0.009049599119401138,0.00820485757154239,0.009370428289153049,0.00988182093096423,106,Train,0.009077599539181035,0.0006191768777599419,0.9077599539181035,0.06191768777599419
109,0.009575575208400194,0.009324028045418502,0.00951978306439143,0.009609500435801893,0.009764830520145337,109,Train,0.00955874345483147,0.00015964076310129066,0.9558743454831471,0.015964076310129065
113,0.009300436816266425,0.00866426495469568,0.00917317023673421,0.00920766174338401,0.00925954881789867,113,Train,0.009121016513795798,0.00025991933247924303,0.9121016513795799,0.025991933247924304
