Formula_label,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_T
0,DSPC,0.0,0.6666666666666667,0.1333334,0.0,3.5555288
1,DSPC,0.0,0.0,0.0,0.0,3.932919413
2,DSPC,0.0,0.5,0.0,0.0,2.935019781
3,DSPC,0.0,1.0000000000000002,0.0,0.0,1.127480654
4,DSPC,0.0,0.0,0.39999999999999997,0.0,4.843355392
5,DSPC,0.0,0.5,0.39999999999999997,0.0,4.021709872
6,DSPC,0.0,1.0000000000000002,0.39999999999999997,0.0,1.116217314
7,DSPC,0.0,0.0,0.8,0.0,4.218961745
8,DSPC,0.0,0.5,0.8,0.0,3.411778998
9,DSPC,0.0,1.0000000000000002,0.8,0.0,1.738142548
10,DSPC,0.0,0.0,1.0,0.0,3.811197857
11,DSPC,0.0,0.5,1.0,0.0,3.190245482
12,DSPC,0.0,1.0000000000000002,1.0,0.0,1.273533489
13,DSPC,1.0,0.0,0.0,0.0,2.560950848
14,DSPC,1.0,0.5,0.0,0.0,2.883050082
15,DSPC,1.0,1.0000000000000002,0.0,0.0,0.801623882
16,DSPC,1.0,0.0,0.39999999999999997,0.0,4.311782755
17,DSPC,1.0,0.5,0.39999999999999997,0.0,2.631173509
18,DSPC,1.0,1.0000000000000002,0.39999999999999997,0.0,1.935147695
19,DSPC,1.0,0.0,0.8,0.0,3.940271984
20,DSPC,1.0,0.5,0.8,0.0,3.106099215
21,DSPC,1.0,1.0000000000000002,0.8,0.0,2.035689278
22,DSPC,1.0,0.0,1.0,0.0,3.368182593
23,DSPC,1.0,0.5,1.0,0.0,3.449989777
24,DSPC,1.0,1.0000000000000002,1.0,0.0,2.741642412
