Formula_label,Helper_lipid,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,LnRLU_T
0,DSPC,0.149729895148766,0.017552648751702146,0.05862069542319749,0.023603036524523547,3.492784557
1,DSPC,0.149729895148766,0.0,0.21551724137931033,0.08677586104950467,3.870175169
2,DSPC,0.149729895148766,0.0,0.07836990595611286,0.03155485850455385,2.872275537
3,DSPC,0.149729895148766,0.0,0.0,0.0,1.06473641
4,DSPC,0.149729895148766,0.06268799742148624,0.3017241379310345,0.12148620549522358,4.780611148
5,DSPC,0.149729895148766,0.06268799742148624,0.12539184952978055,0.0504877736332032,3.958965629
6,DSPC,0.149729895148766,0.06268799742148624,0.024630541868338574,0.009917241233181037,1.05347307
7,DSPC,0.149729895148766,0.1755263927722628,0.45689655172413796,0.18396482544568354,4.156217502
8,DSPC,0.149729895148766,0.1755263927722628,0.21003134796238243,0.08456702089068911,3.349034754
9,DSPC,0.149729895148766,0.1755263927722628,0.06896551724137932,0.027768275504741025,1.675398304
10,DSPC,0.149729895148766,0.27425998870912904,0.5926724137931034,0.23863361791853419,3.748453613
11,DSPC,0.149729895148766,0.27425998870912904,0.28409090909090906,0.11438636232198006,3.127501239
12,DSPC,0.149729895148766,0.27425998870912904,0.10775862068965518,0.04338793045995969,1.210789245
13,DSPC,0.7280987005542565,0.013164479458248824,0.396551724137931,0.15966758434663883,2.498206604
14,DSPC,0.7280987005542565,0.013164479458248824,0.17711598746081503,0.07131398032655162,2.820305839
15,DSPC,0.7280987005542565,0.013164479458248824,0.05172413793103449,0.02082620669334841,0.738879638
16,DSPC,0.7280987005542565,0.11346527538265183,0.5344827586206897,0.21520413548570616,4.249038511
17,DSPC,0.7280987005542565,0.11346527538265183,0.25235109717868337,0.1016066445842247,2.568429265
18,DSPC,0.7280987005542565,0.11346527538265183,0.09113300489028213,0.036693792640521014,1.872403452
19,DSPC,0.7280987005542565,0.2940067078965023,0.7827586206896552,0.315169927380525,3.87752774
20,DSPC,0.7280987005542565,0.2940067078965023,0.38777429467084634,0.15613344022211922,3.043354972
21,DSPC,0.7280987005542565,0.2940067078965023,0.16206896551724137,0.06525544744909993,1.972945034
