Formula_label,Helper_lipid,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,LnRLU_RAMOS
0,DSPC,0.43731778425655987,0.06230676555034607,0.12910028041387508,0.1732934381487438,3.625105266
1,DSPC,0.43731778425655987,0.012937568296494752,0.1294502012676412,0.17380637676482655,2.59513491
2,DSPC,0.43731778425655987,0.13883838868050905,0.1295343250568032,0.1739296910556349,4.750642258
3,DSPC,0.43731778425655987,0.3302076356329538,0.12952949766186353,0.17392261469367162,5.129182663
4,DSPC,0.43731778425655987,0.776735878544318,0.12959635956730983,0.17402062528703274,4.262640824
5,DSPC,0.43731778425655987,1.0,0.1266679381758358,0.16972793928589133,4.084637596
6,DSPC,0.402332361516035,0.1279111347175709,0.1523692529564877,0.3675297990832984,3.446166609
7,DSPC,0.4314868804664722,0.06387251417727172,0.09892744043619775,0.26749120937753323,3.821622286
8,DSPC,0.9999999999999998,0.0,0.35852139131179017,0.7898618082285066,2.445695971
9,DSPC,0.4139941690962099,0.10745413996427773,0.0001421969351202701,0.00020062400769721433,2.703656216
10,DSPC,0.0,0.22973878097789685,0.35852139131179017,0.7898618082285066,2.983898735
11,DSPC,0.4482504324586978,0.06347101734762224,0.5776692357445522,0.5721278766554635,3.352312934
12,DSPC,0.4468758211856172,0.06325448169234203,1.0,1.0,2.392363976
13,DSPC,0.9999999999999998,0.0,0.35852139131179017,0.7898618082285066,1.955136355
14,DSPC,0.4130768620019438,0.10740605637419066,0.0,0.0,3.99458102
15,DSPC,0.43731778425655987,0.012937568296494752,0.12656442204689097,0.16957619828514572,3.075091347
16,DSPC,0.43731778425655987,0.776735878544318,0.12656442204689097,0.16957619828514572,3.879298806
