Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),MAL_(PEG+MAL),IL%,HL%,Chol%,PEG%,MAL%,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,MAL_Mol_RNA,LnRLU_RAMOS,RLU_Fold_over_Mod,Encapsulation,Flow_validation,NORM_RLU_T
0,CONTROL,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,60.0,16.66667,3.75,24.88888789,49.999998,10.000002,38.5,1.126666682,0.373333318,15,3.00000072,11.55000046,0.338000018,0.112,1.674042136,,,,3.492784557
1,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,40.0,10.0,3.75,11.94666667,36.0,4.0,57.75,1.9812,0.2688,15,1.666666667,24.0625,0.8255,0.112,1.107302284,,,,3.870175169
2,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,55.0,10.0,3.75,21.90222222,49.5,5.5,43.3125,1.3179,0.3696,15,1.666666667,13.125,0.399363636,0.112,1.343495676,,,,2.872275537
3,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,70.0,10.0,3.75,41.81333333,63.0,7.0,28.875,0.6546,0.4704,15,1.666666667,6.875,0.155857143,0.112,0.904564673,,,,1.06473641
4,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,40.0,30.0,3.75,9.291851852,28.0,12.0,57.75,2.040933333,0.209066667,15,6.428571429,30.9375,1.093357143,0.112,1.698023571,,,,4.780611148
5,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,55.0,30.0,3.75,17.03506173,38.5,16.5,43.3125,1.400033333,0.287466667,15,6.428571429,16.875,0.545467532,0.112,1.848628909,,,,3.958965629
6,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,70.0,30.0,3.75,32.52148148,49.0,21.0,28.875,0.759133333,0.365866667,15,6.428571429,8.839285714,0.232387755,0.112,1.064661692,,,,1.05347307
7,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,40.0,50.0,3.75,6.637037037,20.0,20.0,57.75,2.100666667,0.149333333,15,15.0,43.3125,1.5755,0.112,1.654327183,,,,4.156217502
8,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,55.0,50.0,3.75,12.16790123,27.5,27.5,43.3125,1.482166667,0.205333333,15,15.0,23.625,0.808454545,0.112,1.032437843,,,,3.349034754
9,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,70.0,50.0,3.75,23.22962963,35.0,35.0,28.875,0.863666667,0.261333333,15,15.0,12.375,0.370142857,0.112,0.983132075,,,,1.675398304
10,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,40.0,60.0,3.75,5.30962963,16.0,24.0,57.75,2.130533333,0.119466667,15,22.5,54.140625,1.997375,0.112,1.334015844,,,,3.748453613
11,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,55.0,60.0,3.75,9.734320988,22.0,33.0,43.3125,1.523233333,0.164266667,15,22.5,29.53125,1.038568182,0.112,1.114624599,,,,3.127501239
12,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,70.0,60.0,3.75,18.5837037,28.0,42.0,28.875,0.915933333,0.209066667,15,22.5,15.46875,0.490678571,0.112,1.038428206,,,,1.210789245
13,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,40.0,10.0,3.75,7.466666667,36.0,4.0,57.75,2.082,0.168,24,2.666666667,38.5,1.388,0.112,1.158198329,,,,2.498206604
14,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,55.0,10.0,3.75,13.68888889,49.5,5.5,43.3125,1.4565,0.231,24,2.666666667,21.0,0.706181818,0.112,1.246652637,,,,2.820305839
15,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,70.0,10.0,3.75,26.13333333,63.0,7.0,28.875,0.831,0.294,24,2.666666667,11.0,0.316571429,0.112,0.842982622,,,,0.738879638
16,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,40.0,30.0,3.75,5.807407407,28.0,12.0,57.75,2.119333333,0.130666667,24,10.28571429,49.5,1.816571429,0.112,1.706816444,,,,4.249038511
