Formula_label,Helper_lipid,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),LnRLU_DeltaRAMOS
0,DSPC,0.018976501666713275,0.5677104717012367,0.08755623731191486,0.24706820272431573,0.353870858
1,DSPC,0.018976501666713275,0.2680017460688687,0.0,0.24706820272431573,-0.103045105
2,DSPC,0.018976501666713275,0.49278329029314477,0.0,0.24706820272431573,-0.083763707
3,DSPC,0.018976501666713275,0.7175648345174208,0.0,0.24706820272431573,-0.373801314
4,DSPC,0.018976501666713275,0.2680017460688687,0.26266858060145426,0.24706820272431573,-0.056782371
5,DSPC,0.018976501666713275,0.49278329029314477,0.26266858060145426,0.24706820272431573,0.065647289
6,DSPC,0.018976501666713275,0.7175648345174208,0.26266858060145426,0.24706820272431573,0.186944816
7,DSPC,0.018976501666713275,0.2680017460688687,0.5253371612029086,0.24706820272431573,-0.038710412
8,DSPC,0.018976501666713275,0.49278329029314477,0.5253371612029086,0.24706820272431573,0.21984515
9,DSPC,0.018976501666713275,0.7175648345174208,0.5253371612029086,0.24706820272431573,0.804546353
10,DSPC,0.018976501666713275,0.2680017460688687,0.6566714515036357,0.24706820272431573,-0.029998754
11,DSPC,0.018976501666713275,0.49278329029314477,0.6566714515036357,0.24706820272431573,0.064326632
12,DSPC,0.018976501666713275,0.7175648345174208,0.6566714515036357,0.24706820272431573,0.031071825
13,DSPC,0.622241487476138,0.2680017460688687,0.0,0.24706820272431573,-0.107582587
14,DSPC,0.622241487476138,0.49278329029314477,0.0,0.24706820272431573,-0.147864672
15,DSPC,0.622241487476138,0.7175648345174208,0.0,0.24706820272431573,-0.227944233
16,DSPC,0.622241487476138,0.2680017460688687,0.26266858060145426,0.24706820272431573,0.075741047
17,DSPC,0.622241487476138,0.49278329029314477,0.26266858060145426,0.24706820272431573,0.151881784
18,DSPC,0.622241487476138,0.7175648345174208,0.26266858060145426,0.24706820272431573,0.326836938
19,DSPC,0.622241487476138,0.2680017460688687,0.5253371612029086,0.24706820272431573,0.047581602
20,DSPC,0.622241487476138,0.49278329029314477,0.5253371612029086,0.24706820272431573,0.687393323
21,DSPC,0.622241487476138,0.7175648345174208,0.5253371612029086,0.24706820272431573,1.039752056
22,DSPC,0.622241487476138,0.2680017460688687,0.6566714515036357,0.24706820272431573,0.029603275
23,DSPC,0.622241487476138,0.49278329029314477,0.6566714515036357,0.24706820272431573,0.724104248
24,DSPC,0.622241487476138,0.7175648345174208,0.6566714515036357,0.24706820272431573,0.587543482
25,DSPC,0.0027516150685106266,0.6185408559280583,0.8140486557247392,0.2578094039511256,0.186770102
26,DSPC,0.0007207665266855123,0.6187473597356499,0.9999999999999999,0.4290853968511935,-0.008535777
27,DSPC,0.8667386743460385,0.5001109733746214,0.8755721021007056,0.9927025464754905,-0.006839425
28,DSPC,0.8624839483529071,0.5682219589581776,0.7137013987597177,0.5618778359072873,0.085604358
29,DSPC,0.5607645366268627,0.5921807308304694,0.8972277402065271,0.6616837047331071,-0.057851793
30,DSPC,0.7589549388968669,0.146408399853374,0.508882688146713,0.4140983983053266,0.058256938
31,DSPC,0.969053118541937,0.2639118147020005,0.39077632202926427,0.18478229201712315,0.060491144
32,DSPC,0.6389611110859382,0.3588618816555886,0.33086069735269186,0.9025155988939103,-0.028333599
33,DSPC,0.6930173459972641,0.09840751145796833,0.36793392941482195,0.7487071613814938,-0.007942695
34,DSPC,0.9648169491808575,0.0,0.5131256819486235,0.9351949864673389,-0.03564812
35,DSPC,0.6783402766830738,0.38148789483028284,0.34107939939327103,0.11777214091798188,-0.265925034
36,DSPC,0.6905696011325789,1.0,0.5685070148120758,0.21527937130192398,0.016390416
37,DSPC,0.625134907218743,0.7184695126486058,0.6161714368649187,0.0,0.251564617
38,DSPC,0.6246185526085556,0.40389595877071655,0.8098885471247718,0.11232240939413501,0.202980742
39,DSPC,1.0,0.47681292257517,0.4648900074786827,0.012914273815535282,0.325706615
40,DSPC,0.0,0.2146199272245744,0.31478976993720176,0.6539520265478871,-0.277251274
41,DSPC,0.9886765935524765,0.4217870714470496,0.7707609919738151,1.0,0.25767164
42,DSPC,0.6249392074540813,0.5870359621658261,0.7695834350682127,0.8576552145432969,0.316054741
43,DSPC,0.36208592628111413,0.5466095427110484,0.18830456437733387,0.6124921288465287,-0.158979872
44,DSPC,0.2776087136033726,0.11959095940143932,0.4926791857258819,0.9436364570822201,-0.247281199
