,0,1,2,3,4,Train_size,Score_Type,Mean_MAE,sd,Percent_Error,Percent_SD
1,7.713211724880154e-09,1.29125812931008e-08,2.251854724910629e-09,1.6605411401471314e-08,1.1604933214393042e-08,1,Train,1.0217598471751188e-08,5.470758871921769e-09,1.0217598471751188e-06,5.47075887192177e-07
5,0.004028468601434539,0.004068407403733325,0.004092827044673817,0.004074344731577067,0.004033086947923026,5,Train,0.004059426945868355,2.7708167279580802e-05,0.40594269458683546,0.0027708167279580803
9,0.0028403761655235726,0.002901636452695728,0.0026018889694378205,0.0027682898931904788,0.002703840049331574,9,Train,0.002763206306035835,0.00011693114544268015,0.2763206306035835,0.011693114544268015
14,0.0022286057717294224,0.0024648697207154536,0.0023979791672158516,0.002023720069037535,0.0023458293737031234,14,Train,0.002292200820480277,0.00017320931960217636,0.22922008204802768,0.017320931960217636
18,0.0019900281982539714,0.0021880293254702677,0.002106940476013797,0.001996716344353008,0.0022156448475902906,18,Train,0.0020994718383362666,0.0001047985914189559,0.20994718383362665,0.01047985914189559
23,0.0019063567850721229,0.0019013950163314693,0.0019571299027759084,0.0019165208972545579,0.0020043690093693354,23,Train,0.0019371543221606787,4.35022771384945e-05,0.19371543221606788,0.00435022771384945
27,0.0019454000728182507,0.001861374557393148,0.0019095935817217001,0.0018505425536461061,0.001862687980730384,27,Train,0.001885919749261918,4.0286743217579595e-05,0.18859197492619179,0.004028674321757959
32,0.0017732802767155254,0.0018146590359691059,0.0019420363511414855,0.001826396767198709,0.00186545169478371,32,Train,0.001844364825161707,6.372338876736774e-05,0.1844364825161707,0.006372338876736774
36,0.0019057292161202023,0.0018203200103768073,0.0019064855399582542,0.0017443179209801108,0.0018295366340631354,36,Train,0.0018412778642997018,6.779442538538965e-05,0.18412778642997019,0.006779442538538965
40,0.0018259189792574453,0.001762215889615712,0.0017592994235222266,0.0016582549951674522,0.0017943521332937397,40,Train,0.0017600082841713154,6.301354522561458e-05,0.17600082841713155,0.006301354522561458
45,0.0016961156574948968,0.0017206940561165583,0.0016859795946500534,0.0016613654648589369,0.0017358681767836697,45,Train,0.001700004589980823,2.923635214694214e-05,0.1700004589980823,0.0029236352146942137
49,0.0016818686684442724,0.001672666038705798,0.0016564749212611342,0.0015489445148710542,0.0016732607190836607,49,Train,0.0016466429724731838,5.538097575480712e-05,0.16466429724731838,0.005538097575480712
54,0.0016349276880338322,0.0016654837976398623,0.0016312007367271844,0.0016111921365607577,0.0016551954886133175,54,Train,0.0016395999695149907,2.1287173797634058e-05,0.16395999695149907,0.0021287173797634056
58,0.0016241315914170829,0.001648914530758009,0.0016603889081450648,0.0015627285651696754,0.0016456474112774614,58,Train,0.0016283622013534588,3.896331265794942e-05,0.16283622013534588,0.0038963312657949423
63,0.0016979207511278662,0.0017110692430287392,0.0016994775744033565,0.0016095368697742203,0.0016783238934013633,63,Train,0.001679265666347109,4.0715454415308976e-05,0.16792656663471092,0.004071545441530898
67,0.0016503556539306644,0.0017071631557773422,0.0016737125332487901,0.0016778645069350884,0.001679415738773872,67,Train,0.0016777023177331515,2.0215473631750206e-05,0.16777023177331515,0.0020215473631750207
71,0.0017015436430230144,0.0016435700704904663,0.0016944773761826653,0.001620455914464885,0.0016757865390825068,71,Train,0.0016671667086487075,3.442617928440372e-05,0.16671667086487074,0.003442617928440372
76,0.0017387577982753883,0.0016880092726170438,0.0017174781638105974,0.0015938224765945548,0.0016693284950131796,76,Train,0.0016814792412621529,5.5791455112008065e-05,0.1681479241262153,0.005579145511200806
80,0.0017266465218472161,0.0016751855326136167,0.0016866206298188156,0.0015943866502918114,0.0016627599248511097,80,Train,0.001669119851884514,4.816089586006615e-05,0.1669119851884514,0.004816089586006615
85,0.0016678938436371499,0.001624898132774223,0.0015955488707845363,0.0015980980779963412,0.0016305602121790522,85,Train,0.0016233998274742607,2.936446754741287e-05,0.1623399827474261,0.002936446754741287
89,0.0017081528339165258,0.0016510633689042753,0.0016015434376443905,0.0015731781075030142,0.0016478399265472132,89,Train,0.0016363555349030838,5.1735706302581124e-05,0.16363555349030837,0.005173570630258113
94,0.0016894902182379035,0.0016021495902416153,0.0016315860086759035,0.001628379529697173,0.001663866663178538,94,Train,0.0016430944020062268,3.3946674331114104e-05,0.1643094402006227,0.0033946674331114105
98,0.00165664895676801,0.0015882042783388803,0.0016328630500329296,0.0016336928934777867,0.0016416651912789307,98,Train,0.0016306148739793074,2.555909867957146e-05,0.16306148739793075,0.0025559098679571457
102,0.0016518656395099669,0.0016052874902527433,0.0016037525644913846,0.0015898250402887133,0.00158965903330338,102,Train,0.0016080779535692375,2.5574804902607804e-05,0.16080779535692374,0.0025574804902607803
107,0.0016458066446532495,0.0016461237191937566,0.001644284882915416,0.0016008818885736929,0.0016648278313394539,107,Train,0.0016403849933351138,2.364045278612942e-05,0.1640384993335114,0.0023640452786129417
111,0.001633009822392753,0.0016215421728222313,0.0015918403174257326,0.0015895418192684,0.0016696032128104249,111,Train,0.0016211074689439081,3.296455883094224e-05,0.1621107468943908,0.003296455883094224
116,0.001672223737852832,0.0017294607628449555,0.0015841597626508066,0.001625021937731504,0.0016772999680087091,116,Train,0.0016576332338177617,5.527364825491917e-05,0.16576332338177618,0.005527364825491917
120,0.0016432474653944047,0.0017778619450127796,0.0016206355552038291,0.0016426610441982708,0.0017296612452559735,120,Train,0.0016828134510130516,6.758828625453641e-05,0.16828134510130516,0.006758828625453641
125,0.001692808769744781,0.0017488129651498491,0.0016277221538004074,0.001699015478548766,0.0017524868315546903,125,Train,0.0017041692397596988,5.0811982786605154e-05,0.1704169239759699,0.005081198278660515
129,0.001704706776044888,0.0017023535343395745,0.0016700114944376322,0.0016874391718117831,0.0017157741167309506,129,Train,0.0016960570186729657,1.7719092705167667e-05,0.16960570186729657,0.0017719092705167667
133,0.001685252415632836,0.0017643303482554567,0.0017198805809523373,0.0017019461883629068,0.001754326557711961,133,Train,0.0017251472181830994,3.370597892277526e-05,0.17251472181830993,0.003370597892277526
138,0.0017550863630285836,0.0018113951316535623,0.0017206426408912477,0.001714922916028299,0.0017128423976642917,138,Train,0.0017429778898531967,4.189757418450457e-05,0.17429778898531967,0.004189757418450457
142,0.0017243035382118028,0.0017875398931112806,0.0017662538761300903,0.0016802318188442768,0.0017370461132904045,142,Train,0.001739075047917571,4.1147204051845866e-05,0.1739075047917571,0.004114720405184587
147,0.0017356143805750842,0.0018159531779262544,0.0018125612076142204,0.001697586356720177,0.0017255862556289137,147,Train,0.0017574602756929298,5.3701989655805486e-05,0.17574602756929297,0.005370198965580548
151,0.0017613391962372905,0.001776337182300487,0.0017612968970001474,0.0017129507068520716,0.0016867343466487664,151,Train,0.0017397316658077527,3.8071787474355636e-05,0.17397316658077527,0.0038071787474355636
156,0.0017439523307884869,0.0017877250214946318,0.0017526877069525184,0.0017026479294400328,0.0017407488503651404,156,Train,0.001745552367808162,3.0396835828907587e-05,0.1745552367808162,0.0030396835828907587
160,0.0017341448112476257,0.001764899326657235,0.0017272140001270311,0.0017238867933652233,0.0017057868444954113,160,Train,0.0017311863551785055,2.156104855114927e-05,0.17311863551785056,0.002156104855114927
164,0.001734916516644162,0.0017517398136875726,0.0017361295886098467,0.0017345375634961087,0.0016985276133338327,164,Train,0.0017311702191543047,1.961260457084365e-05,0.17311702191543046,0.001961260457084365
169,0.0017536681925692515,0.0017594912946588125,0.0018331787792586,0.0017164366738455436,0.0017063307543758624,169,Train,0.0017538211389416139,4.9956841352943065e-05,0.1753821138941614,0.004995684135294306
173,0.0018279136219741781,0.0017464056322573029,0.0018352212431641478,0.0017641436048943312,0.0017264762403084422,173,Train,0.0017800320685196803,4.896400562307707e-05,0.17800320685196802,0.004896400562307707
178,0.0018408294874684191,0.0017893075154606385,0.0017999269911419518,0.001768245650398666,0.0017514612520918755,178,Train,0.0017899541793123103,3.4062948358508796e-05,0.17899541793123103,0.0034062948358508796
182,0.0018128913495891908,0.0017585287551737758,0.0017963133628180884,0.0018128212234878045,0.0017699779902919453,182,Train,0.001790106536272161,2.487942951186198e-05,0.1790106536272161,0.002487942951186198
187,0.0017885055795980476,0.0018240550806386997,0.0018365560363116293,0.0018473093499031246,0.0017540361287357142,187,Train,0.0018100924350374433,3.836886179136473e-05,0.18100924350374434,0.003836886179136473
191,0.0018021693099512105,0.0018355887423326725,0.0018258139206005827,0.0018269889132919534,0.0017720661289284407,191,Train,0.001812525403020972,2.5796787458873507e-05,0.1812525403020972,0.0025796787458873508
195,0.0018717448687844622,0.0018971817815710789,0.0018455002439579254,0.0018555373437144935,0.001775571698891179,195,Train,0.0018491071873838276,4.5512240783750835e-05,0.18491071873838277,0.004551224078375084
