Formula_label,Helper_lipid,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),LnRLU_T
0,DSPC,0.0,0.6666666666666667,0.1333334,0.0,4.251002589888276
1,DSPC,0.0,0.0,0.0,0.0,4.7191814925872615
2,DSPC,0.0,0.5,0.0,0.0,4.451731563380354
3,DSPC,0.0,1.0000000000000002,0.0,0.0,2.955864647978526
4,DSPC,0.0,0.0,0.39999999999999997,0.0,3.6931582106856338
5,DSPC,0.0,0.5,0.39999999999999997,0.0,4.665243883254845
6,DSPC,0.0,1.0000000000000002,0.39999999999999997,0.0,4.010051774772742
7,DSPC,0.0,0.0,0.8,0.0,2.9644596458972865
8,DSPC,0.0,0.5,0.8,0.0,4.006988046886092
9,DSPC,0.0,1.0000000000000002,0.8,0.0,4.241663499387347
10,DSPC,0.0,0.0,1.0,0.0,2.9664883380870446
11,DSPC,0.0,0.5,1.0,0.0,3.0533670098810717
12,DSPC,0.0,1.0000000000000002,1.0,0.0,3.1187346497130184
13,DSPC,1.0,0.0,0.0,0.0,4.323552447503254
14,DSPC,1.0,0.5,0.0,0.0,3.86913692986358
15,DSPC,1.0,1.0000000000000002,0.0,0.0,1.4364025024857563
16,DSPC,1.0,0.0,0.39999999999999997,0.0,3.858396195152774
17,DSPC,1.0,0.5,0.39999999999999997,0.0,4.788241262655988
18,DSPC,1.0,1.0000000000000002,0.39999999999999997,0.0,4.306565943619856
19,DSPC,1.0,0.0,0.8,0.0,2.1578607669525
20,DSPC,1.0,0.5,0.8,0.0,2.8705410126733986
21,DSPC,1.0,1.0000000000000002,0.8,0.0,2.055179386127275
22,DSPC,1.0,0.0,1.0,0.0,1.5228175482877075
23,DSPC,1.0,0.5,1.0,0.0,2.085433675246386
24,DSPC,1.0,1.0000000000000002,1.0,0.0,2.9086825537411745
