Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),LnRLU_T
0,CONTROL,0,SM-102,DSPC,5.0,60.0,16.66667,3.75,4.251002589888276
1,LIBRARY,0,SM-102,DSPC,5.0,40.0,10.0,3.75,4.7191814925872615
2,LIBRARY,0,SM-102,DSPC,5.0,55.0,10.0,3.75,4.451731563380354
3,LIBRARY,0,SM-102,DSPC,5.0,70.0,10.0,3.75,2.955864647978526
4,LIBRARY,0,SM-102,DSPC,5.0,40.0,30.0,3.75,3.6931582106856338
5,LIBRARY,0,SM-102,DSPC,5.0,55.0,30.0,3.75,4.665243883254845
6,LIBRARY,0,SM-102,DSPC,5.0,70.0,30.0,3.75,4.010051774772742
7,LIBRARY,0,SM-102,DSPC,5.0,40.0,50.0,3.75,2.9644596458972865
8,LIBRARY,0,SM-102,DSPC,5.0,55.0,50.0,3.75,4.006988046886092
9,LIBRARY,0,SM-102,DSPC,5.0,70.0,50.0,3.75,4.241663499387347
10,LIBRARY,0,SM-102,DSPC,5.0,40.0,60.0,3.75,2.9664883380870446
11,LIBRARY,0,SM-102,DSPC,5.0,55.0,60.0,3.75,3.0533670098810717
12,LIBRARY,0,SM-102,DSPC,5.0,70.0,60.0,3.75,3.1187346497130184
13,LIBRARY,0,SM-102,DSPC,8.0,40.0,10.0,3.75,4.323552447503254
14,LIBRARY,0,SM-102,DSPC,8.0,55.0,10.0,3.75,3.86913692986358
15,LIBRARY,0,SM-102,DSPC,8.0,70.0,10.0,3.75,1.4364025024857563
16,LIBRARY,0,SM-102,DSPC,8.0,40.0,30.0,3.75,3.858396195152774
17,LIBRARY,0,SM-102,DSPC,8.0,55.0,30.0,3.75,4.788241262655988
18,LIBRARY,0,SM-102,DSPC,8.0,70.0,30.0,3.75,4.306565943619856
19,LIBRARY,0,SM-102,DSPC,8.0,40.0,50.0,3.75,2.1578607669525
20,LIBRARY,0,SM-102,DSPC,8.0,55.0,50.0,3.75,2.8705410126733986
21,LIBRARY,0,SM-102,DSPC,8.0,70.0,50.0,3.75,2.055179386127275
22,LIBRARY,0,SM-102,DSPC,8.0,40.0,60.0,3.75,1.5228175482877075
23,LIBRARY,0,SM-102,DSPC,8.0,55.0,60.0,3.75,2.085433675246386
24,LIBRARY,0,SM-102,DSPC,8.0,70.0,60.0,3.75,2.9086825537411745
25,i-optimal,1,SM-102,DSPC,7.302396753093698,72.81384373881065,87.17393206533156,4.020537699973923,
26,i-optimal,1,SM-102,DSPC,4.484190324440408,72.10983951599809,69.68058927218381,7.733571996625065,
27,i-optimal,1,SM-102,DSPC,9.468687556672046,69.30240691632261,13.551939625175175,8.592494036160534,
28,i-optimal,1,SM-102,DSPC,8.001109227592746,66.05900246498484,15.88142362341779,6.165611855813411,
29,i-optimal,1,SM-102,DSPC,8.459872221304812,64.54085770210527,16.019470219672087,4.638128116071043,
30,i-optimal,1,SM-102,DSPC,4.571888849487639,80.2719672722097,68.08322760680619,3.1976854545415216,
31,i-optimal,1,SM-102,DSPC,7.259150238873726,74.57122806095481,71.56554468888304,9.68845231357523,
32,i-optimal,1,SM-102,DSPC,7.119937701857469,84.34343683269007,79.80605380449954,5.803663960680708,
33,i-optimal,1,SM-102,DSPC,5.249117653433943,71.57313100392679,81.17280840915774,7.3103128561279345,
34,i-optimal,1,SM-102,DSPC,6.3531985198701655,83.24348151777748,64.1040070418355,8.132123402225268,
35,i-optimal,1,SM-102,DSPC,6.919398387651946,75.50187347363423,63.36500962003846,4.293073141424745,
36,i-optimal,1,SM-102,DSPC,6.145517896019367,65.41791063013322,75.57873813284628,6.312398900882738,
37,DA,1,SM-102,DSPC,8.737060596188073,58.04795817725764,32.60466620943203,5.8542693158378825,
38,DA,1,SM-102,DSPC,9.870449501393349,56.11298390922202,38.57974910486293,7.601162223145366,
39,DA,1,SM-102,DSPC,9.392470491825025,56.70148783494002,37.2905029793525,7.483743701130152,
40,DA,1,SM-102,DSPC,9.712161498768488,58.3032313166439,46.876050912215845,8.230777461081743,
41,DA,1,SM-102,DSPC,8.469702942494992,56.04473257058039,39.84908390336466,2.8941287100315094,
42,DA,1,SM-102,DSPC,9.251610565479108,57.35301890345277,42.42695458503316,5.852828085422516,
43,DA,1,SM-102,DSPC,8.383138253383658,55.99451560523508,33.548401854908704,6.32629784825258,
44,DA,1,SM-102,DSPC,8.199113749604296,58.10092581797556,43.26295455558788,9.07822615839541,
45,DA,1,SM-102,DSPC,9.096410798708554,55.61733379621561,33.51948424843278,9.597126923501492,
46,DA,1,SM-102,DSPC,9.619348080600162,59.56354173850824,34.583554475126974,2.6291172206401825,
47,DA,1,SM-102,DSPC,8.39003965373937,59.6958402981267,30.160694083769556,3.956721179187298,
48,DA,1,SM-102,DSPC,8.741696603458951,55.96102798702131,44.38444512508928,7.660364951938391,
